Relationship,Max_CCM_Score,Convergence,Basic_CCM_Score
X→Y_Original,5.772549387535567,-3.161618339150768,0.4271070235091785
X→Y_EDGeNet,-5.702359573381665,-6.648296626143346,-6.571772683751022
X→Z_Original,11.730866456668311,-1.0867836181146424,-0.47628174857597405
X→Z_EDGeNet,-1.7838573666738955,-5.225436808004221,-5.270960074537775
