Architecture,Norm_X_MSE,Norm_Y_MSE,Norm_Z_MSE,Norm_Mean_MSE,Denorm_X_MSE,Denorm_Y_MSE,Denorm_Z_MSE,Denorm_Mean_MSE,X_Correlation,Y_Correlation,Z_Correlation,Parameters
EDGeNet,63.64407136879013,78.54437583951851,681.6568583425179,274.6151018502755,37.8184974086957,29.56554560814865,42.81529045037071,36.73311115573835,0.5071224403949225,0.7890094256284628,0.3714656504554082,22897
LSTM,58.08947752836182,71.0569623201646,628.0423559510799,252.39626526653547,74.35266097989553,96.72561573144107,93.13081424850913,88.06969698661526,0.3128647766279031,0.3279613271594722,0.11666169402335803,260127
MLP,64.4989662664468,75.18102447360701,684.2174355053904,274.63247541514806,83.36524462693244,121.57286931272589,64.58629357445244,89.84146917137025,0.5878327204689793,0.5637450997521114,0.5092812006295067,3939840
Corrected,34.66346269333453,40.44873099916045,559.0835527915318,211.39858216134226,34.66346269333453,40.44873099916045,559.0835527915318,211.39858216134226,0.855886688411568,0.8693841099074759,0.6351194388857727,0
CausalAE,49.17050119227265,58.780485094863174,685.0894436828885,264.3468099900081,56.71122291071291,173.5436710989685,435.71401633337416,221.9896367810185,0.8686005429806445,0.7250600071111812,0.4179507829948833,66348
ModUNet,34.76769928753091,38.936513265741496,554.6331447686491,209.44578577397385,232.15941257251072,353.8739869775482,407.73796025415777,331.2571199347389,0.7861585078982358,0.8623690329763433,0.6030167432468255,0
