name,encoder_flops,decoder_flops,total_flops,total_params,flops_per_param
MLP,2885248,1051008,3936256,3939840,0.999090318388564
LSTM,1321059,3982592,5303651,260127,20.388698597223662
EDGeNet,9390256,0,9390256,22897,410.1085731755252
CausalAE,17345946,0,17345946,66348,261.43886778802676
ModUNet,19972096,4817280,24789376,77475,319.9661310100032
Corrected,19972096,4817280,24789376,77475,319.9661310100032
